THSMSTRAKM;KDPTITRAKM;KDJENTRAKM;KDPSTTRKAM;NIMHSTRKAM;SKSEMTRAKM;NLIPSTRAKM;SKSTTTRAKM;NLIPKTRAKM
20132;071079;C;200;201312111;20;2.63;38;2.84
20132;071079;C;200;201312113;20;2.11;35;2.49
20132;071079;C;200;201312114;20;2.47;36;2.69
20132;071079;C;200;201312121;20;3.07;36;2.88
20132;071079;C;200;201312122;20;2.85;35;3.07
20132;071079;C;200;201312126;20;2.00;36;2.29
20132;071079;C;200;201312128;20;2.80;33;2.69
20132;071079;C;200;201312130;20;1.83;35;2.47
20132;071079;C;200;201312135;20;3.40;32;3.42
20132;071079;C;200;201312138;20;2.04;32;2.50
20132;071079;C;200;201312139;20;3.45;34;3.05
20132;071079;C;200;201312140;20;3.53;33;2.87
20132;071079;C;200;201312144;20;3.56;32;3.40
20132;071079;C;200;201312145;20;3.25;35;3.43
20132;071079;C;200;201312147;20;1.63;24;2.27
20132;071079;C;200;201312152;20;1.93;26;2.04
20132;071079;C;200;201312155;20;3.43;24;3.47
20132;071079;C;200;201312156;20;3.00;24;3.13
20132;071079;C;200;201312157;20;2.99;27;3.21
20132;071079;C;200;201312158;20;2.30;27;3.01
20132;071079;C;200;201312159;20;3.10;24;2.46
20132;071079;C;200;201312162;20;3.15;30;3.25
20132;071079;C;200;201312164;20;3.91;24;3.65
20132;071079;C;200;201312165;20;3.30;27;3.26
20132;071079;C;200;201312166;20;3.47;30;3.38
20132;071079;C;200;201312168;20;1.30;27;2.50
20132;071079;C;200;201312173;20;0.00;27;1.41
20132;071079;C;200;201312176;20;2.40;22;2.45
20132;071079;C;200;201312183;20;3.30;27;3.21
20132;071079;C;200;201312185;16;1.13;113;2.19
20132;071079;C;200;201312191;20;2.29;30;2.57
20132;071079;C;200;201312192;13;0.00;134;3.31
20132;071079;C;200;201312196;20;3.30;27;3.01
20132;071079;C;200;201312199;20;3.56;26;3.58
20132;071079;C;200;201312202;20;2.32;29;2.63
20132;071079;C;200;201312203;20;2.00;25;2.35
20132;071079;C;200;201312205;20;2.27;26;2.61
20132;071079;C;200;201312206;20;3.60;27;3.60
20132;071079;C;200;201312207;20;2.03;26;2.76
20132;071079;C;200;201312210;20;1.57;24;2.18
20132;071079;C;200;201312214;20;1.16;26;1.72
20132;071079;C;200;201312239;20;4.00;28;3.85
20132;071079;C;200;201312241;20;3.64;28;3.35
20132;071079;C;200;201312242;8;0.00;131;3.17
20132;071079;C;200;201312243;20;2.61;30;2.39
20132;071079;C;200;201312246;6;0.00;135;3.08
20132;071079;C;200;201312247;20;1.85;25;1.26
20132;071079;C;200;201312251;20;3.70;20;2.86
20132;071079;C;200;201312268;20;4.00;30;3.88
20132;071079;C;200;201312271;18;3.91;24;3.98
20132;071079;C;200;201312291;23;3.64;105;2.94
20132;071079;C;200;201312312;17;0.00;13;0.00
20132;071079;C;200;201312314;17;2.58;13;2.58
20132;071079;C;200;201312318;17;3.95;13;3.95
20132;071079;C;200;201312331;17;3.88;13;3.88
20132;071079;C;200;201312332;20;3.26;77;2.87
20132;071079;C;200;201312348;20;3.30;48;3.64
20132;071079;C;200;201312354;19;0.00;69;2.38
20132;071079;C;200;201312356;17;3.62;13;3.62
20132;071079;C;200;201312360;21;2.35;44;3.14
20132;071079;C;200;201312369;13;0.00;135;3.28
20132;071079;C;200;201312377;14;0.00;130;3.13
20132;071079;C;200;201312379;20;4.00;47;3.64
20132;071079;C;200;201312380;6;0.00;128;2.96
20132;071079;C;200;201312383;6;0.00;136;3.19
20132;071079;C;200;201312384;6;0.00;139;2.96
